ref,Partname,X,Y,R,size_x,size_y,top,bot,left,right
C2124,AT07-102337,67.666,16.074,0,0.6,0.3,1,0,1,0
C2129,2203-010563,54.94,32.0727,90,0.6,0.3,1,0,1,0
C2130,138S00215,60.1579,14.242,270,0.6,0.3,1,0,1,0
C2131,AT07-102322,54.931,18.242,180,0.6,0.3,1,0,1,0
C2132,AT07-102322,54.931,16.292,180,0.6,0.3,1,0,1,0
C2133,AT07-102322,52.931,14.342,180,0.6,0.3,1,0,1,0
C2134,AT07-102322,57.301,14.342,0,0.6,0.3,1,0,1,0
C2137,AT07-102322,58.353,21.215,270,0.6,0.3,1,0,1,0
C2138,AT07-102322,60.303,25.665,90,0.6,0.3,1,0,1,0
C2139,AT07-102322,60.303,21.215,270,0.6,0.3,1,0,1,0
C2140,138S00215,55.923,26.242,90,0.6,0.3,1,0,1,0
C2141,138S00215,56.953,24.166,270,0.6,0.3,1,0,1,0
C2142,138S00215,56.953,22.781,270,0.6,0.3,1,0,1,0
C2143,138S00215,56.953,21.396,270,0.6,0.3,1,0,1,0
C2144,138S00215,57.045,25.897,0,0.6,0.3,1,0,1,0
C2145,138S00215,50.074,15.267,270,0.6,0.3,1,0,1,0
C2146,138S00215,43.504,15.804,180,0.6,0.3,1,0,1,0
C2148,AT07-102323,61.9346,12.0769,180,0.6,0.3,1,0,1,0
C2151,AT07-102324,71.7262,14.5351,0,0.6,0.3,1,0,1,0
C2157,AT07-102337,49.4852,13.9652,0,0.6,0.3,1,0,1,0
C2159,2203-010563,61.2679,14.4902,90,0.6,0.3,1,0,1,0
C2161,2203-010573,60.8129,14.4902,270,0.6,0.3,1,0,1,0
C2169,AT07-102337,62.979,19.325,180,0.6,0.3,1,0,1,0
C2170,AT07-102337,65.345,16.074,180,0.6,0.3,1,0,1,0
C2171,AT07-102337,65.881,14.349,90,0.6,0.3,1,0,1,0
C2172,AT07-102337,67.016,14.349,90,0.6,0.3,1,0,1,0
C2173,2203-010394,64.961,12.696,0,0.6,0.3,1,0,1,0
C2174,AT07-102346,63.3219,13.762,270,0.6,0.3,1,0,1,0
C2175,2203-010551,63.7769,13.762,270,0.6,0.3,1,0,1,0
C2180,138S00215,43.855,18.2978,180,0.6,0.3,1,0,1,0
C2181,AT07-102203,70.0208,14.1039,270,0.6,0.3,1,0,1,0
C2185,AT07-102272,45.044,16.586,270,0.6,0.3,1,0,1,0
C2190,AT07-102330,52.511,30.7511,0,0.6,0.3,1,0,1,0
